Course,Mark and Side x 10,,,Card,CC5,Tue_Hut,,,,,Mark x 10,,,,,,,,,,Side x 10,,,,,,,,,last
J3,Ls,Cs,Bp,Ms,Hs,Xp,,,,,L,C,B,M,H,X,,,,,s,s,p,s,s,p,,,,
J4,Ls,Ms,Ks,Xp,,,,,,,L,M,K,X,,,,,,,s,s,s,p,,,,,,
J5,Ls,Ms,Hs,Xp,,,,,,,L,M,H,X,,,,,,,s,s,s,p,,,,,,
J6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K1,Kp,Cp,Lp,Mp,Dp,Ap,Xp,,,,K,C,L,M,D,A,X,,,,p,p,p,p,p,p,p,,,
K2,Jp,Ep,Ap,Xp,,,,,,,J,E,A,X,,,,,,,p,p,p,p,,,,,,
K3,Kp,Dp,Ap,Xp,,,,,,,K,D,A,X,,,,,,,p,p,p,p,,,,,,
K4,Kp,Cp,Ap,Xp,,,,,,,K,C,A,X,,,,,,,p,p,p,p,,,,,,
K5,Kp,Bp,Ap,Xp,,,,,,,K,B,A,X,,,,,,,p,p,p,p,,,,,,
K6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,Jp,Fp,Lp,Ms,Xp,,,,,,J,F,L,M,X,,,,,,p,p,p,s,p,,,,,
L2,Jp,Fp,Lp,Bs,Ap,Xp,,,,,J,F,L,B,A,X,,,,,p,p,p,s,p,p,,,,
L3,Jp,Fp,Lp,Bs,Xp,,,,,,J,F,L,B,X,,,,,,p,p,p,s,p,,,,,
L4,Jp,Lp,Ks,Xp,,,,,,,J,L,K,X,,,,,,,p,p,s,p,,,,,,
L5,Gp,Xp,,,,,,,,,G,X,,,,,,,,,p,p,,,,,,,,
L6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,As,Mp,Lp,Js,Xp,,,,,,A,M,L,J,X,,,,,,s,p,p,s,p,,,,,
M2,As,Mp,Lp,Ks,Xp,,,,,,A,M,L,K,X,,,,,,s,p,p,s,p,,,,,
M3,As,Cs,Js,Xp,,,,,,,A,C,J,X,,,,,,,s,s,s,p,,,,,,
M4,As,Bs,Js,Xp,,,,,,,A,B,J,X,,,,,,,s,s,s,p,,,,,,
M5,As,Bs,Ks,Xp,,,,,,,A,B,K,X,,,,,,,s,s,s,p,,,,,,
M6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1,As,Jp,Lp,Ns,Xp,,,,,,A,J,L,N,X,,,,,,s,p,p,s,p,,,,,
N2,As,Jp,Lp,Ks,Xp,,,,,,A,J,L,K,X,,,,,,s,p,p,s,p,,,,,
N3,As,Jp,Lp,Xp,,,,,,,A,J,L,X,,,,,,,s,p,p,p,,,,,,
N4,As,Bs,Ns,Xp,,,,,,,A,B,N,X,,,,,,,s,s,s,p,,,,,,
N5,As,Bs,Hs,Xp,,,,,,,A,B,H,X,,,,,,,s,s,s,p,,,,,,
N6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,As,Jp,Cp,Ks,Ap,Xp,,,,,A,J,C,K,A,X,,,,,s,p,p,s,p,p,,,,
P2,As,Jp,Cp,Ks,Xp,,,,,,A,J,C,K,X,,,,,,s,p,p,s,p,,,,,
P3,As,Jp,Cp,Bs,Xp,,,,,,A,J,C,B,X,,,,,,s,p,p,s,p,,,,,
P4,As,Ks,Vs,Xp,,,,,,,A,K,V,X,,,,,,,s,s,s,p,,,,,,
P5,As,Vs,Xp,,,,,,,,A,V,X,,,,,,,,s,s,p,,,,,,,
P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,Ls,Np,Ds,Js,Cp,Xp,,,,,L,N,D,J,C,X,,,,,s,p,s,s,p,p,,,,
Q2,Ls,Np,Cp,Ap,Xp,,,,,,L,N,C,A,X,,,,,,s,p,p,p,p,,,,,
Q3,Ls,Ks,Vs,Bp,Xp,,,,,,L,K,V,B,X,,,,,,s,s,s,p,p,,,,,
Q4,Ls,Ks,Vs,Xp,,,,,,,L,K,V,X,,,,,,,s,s,s,p,,,,,,
Q5,Ls,Vs,Xp,,,,,,,,L,V,X,,,,,,,,s,s,p,,,,,,,
Q6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,Ls,Ks,Vs,Dp,Xp,,,,,,L,K,V,D,X,,,,,,s,s,s,p,p,,,,,
R2,Ls,Ks,Vs,Cp,Xp,,,,,,L,K,V,C,X,,,,,,s,s,s,p,p,,,,,
R3,Ls,Ks,Vs,Bp,Xp,,,,,,L,K,V,B,X,,,,,,s,s,s,p,p,,,,,
R4,Ls,Ks,Vs,Hp,Xp,,,,,,L,K,V,H,X,,,,,,s,s,s,p,p,,,,,
R5,Ls,Vs,Xp,,,,,,,,L,V,X,,,,,,,,s,s,p,,,,,,,
R6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
