Course,Mark and Side x 10,,,Card,CC4,Thu_Red,,,,,Mark x 10,,,,,,,,,,Side x 10,,,,,,,,,last
G4,Qp,Vp,Qp,Vp,,,,,,,Q,V,Q,V,,,,,,,p,p,p,p,,,,,,
G5,Qp,Vp,Yp,Vp,,,,,,,Q,V,Y,V,,,,,,,p,p,p,p,,,,,,
G6,Qp,Sp,Vp,Qp,Vp,,,,,,Q,S,V,Q,V,,,,,,p,p,p,p,p,,,,,
G7,Qp,Sp,Vp,Yp,Vp,,,,,,Q,S,V,Y,V,,,,,,p,p,p,p,p,,,,,
G8,Qp,Sp,Vp,,,,,,,,Q,S,V,,,,,,,,p,p,p,,,,,,,
H1,Rp,Qp,Np,Qp,Np,Vp,Rp,Vp,,,R,Q,N,Q,N,V,R,V,,,p,p,p,p,p,p,p,p,,
H2,Rp,Qp,Np,Qp,Np,Vp,Yp,Vp,,,R,Q,N,Q,N,V,Y,V,,,p,p,p,p,p,p,p,p,,
H3,Rp,Qp,Np,Vp,Rp,Vp,,,,,R,Q,N,V,R,V,,,,,p,p,p,p,p,p,,,,
H4,Rp,Vp,Rp,Vp,,,,,,,R,V,R,V,,,,,,,p,p,p,p,,,,,,
H5,Rp,Vp,Yp,Vp,,,,,,,R,V,Y,V,,,,,,,p,p,p,p,,,,,,
H6,Rp,Sp,Vp,Rp,Vp,,,,,,R,S,V,R,V,,,,,,p,p,p,p,p,,,,,
H7,Rp,Sp,Vp,Yp,Vp,,,,,,R,S,V,Y,V,,,,,,p,p,p,p,p,,,,,
H8,Rp,Sp,Vp,,,,,,,,R,S,V,,,,,,,,p,p,p,,,,,,,
J1,Rp,Qp,Sp,Qp,Sp,Np,Rp,Np,,,R,Q,S,Q,S,N,R,N,,,p,p,p,p,p,p,p,p,,
J2,Rp,Qp,Sp,Qp,Sp,Np,Yp,Np,,,R,Q,S,Q,S,N,Y,N,,,p,p,p,p,p,p,p,p,,
J3,Rp,Qp,Sp,Np,Rp,Np,,,,,R,Q,S,N,R,N,,,,,p,p,p,p,p,p,,,,
J4,Rp,Np,Rp,Np,,,,,,,R,N,R,N,,,,,,,p,p,p,p,,,,,,
J5,Rp,Np,Yp,Np,,,,,,,R,N,Y,N,,,,,,,p,p,p,p,,,,,,
J6,Rp,Pp,Np,Rp,Np,,,,,,R,P,N,R,N,,,,,,p,p,p,p,p,,,,,
J7,Rp,Pp,Np,Yp,Np,,,,,,R,P,N,Y,N,,,,,,p,p,p,p,p,,,,,
J8,Rp,Pp,Np,,,,,,,,R,P,N,,,,,,,,p,p,p,,,,,,,
K1,Tp,Rp,Sp,Rp,Sp,Np,Tp,Np,,,T,R,S,R,S,N,T,N,,,p,p,p,p,p,p,p,p,,
K2,Tp,Rp,Sp,Rp,Sp,Np,Yp,Np,,,T,R,S,R,S,N,Y,N,,,p,p,p,p,p,p,p,p,,
K3,Tp,Rp,Sp,Np,Tp,Np,,,,,T,R,S,N,T,N,,,,,p,p,p,p,p,p,,,,
K4,Tp,Np,Tp,Np,,,,,,,T,N,T,N,,,,,,,p,p,p,p,,,,,,
K5,Tp,Np,Yp,Np,,,,,,,T,N,Y,N,,,,,,,p,p,p,p,,,,,,
K6,Tp,Pp,Np,Tp,Np,,,,,,T,P,N,T,N,,,,,,p,p,p,p,p,,,,,
K7,Tp,Pp,Np,Yp,Np,,,,,,T,P,N,Y,N,,,,,,p,p,p,p,p,,,,,
K8,Tp,Pp,Np,,,,,,,,T,P,N,,,,,,,,p,p,p,,,,,,,
L1,Tp,Rp,Pp,Rp,Pp,Sp,Tp,Sp,,,T,R,P,R,P,S,T,S,,,p,p,p,p,p,p,p,p,,
L2,Tp,Rp,Pp,Rp,Pp,Sp,Yp,Sp,,,T,R,P,R,P,S,Y,S,,,p,p,p,p,p,p,p,p,,
L3,Tp,Rp,Pp,Sp,Tp,Sp,,,,,T,R,P,S,T,S,,,,,p,p,p,p,p,p,,,,
L4,Tp,Sp,Tp,Sp,,,,,,,T,S,T,S,,,,,,,p,p,p,p,,,,,,
L5,Tp,Sp,Yp,Sp,,,,,,,T,S,Y,S,,,,,,,p,p,p,p,,,,,,
L6,Tp,Qp,Sp,Tp,Sp,,,,,,T,Q,S,T,S,,,,,,p,p,p,p,p,,,,,
L7,Tp,Qp,Sp,Yp,Sp,,,,,,T,Q,S,Y,S,,,,,,p,p,p,p,p,,,,,
L8,Tp,Qp,Sp,,,,,,,,T,Q,S,,,,,,,,p,p,p,,,,,,,
M1,Wp,Tp,Pp,Tp,Pp,Sp,Wp,Sp,,,W,T,P,T,P,S,W,S,,,p,p,p,p,p,p,p,p,,
M2,Wp,Tp,Pp,Tp,Pp,Sp,Yp,Sp,,,W,T,P,T,P,S,Y,S,,,p,p,p,p,p,p,p,p,,
M3,Wp,Tp,Pp,Sp,Wp,Sp,,,,,W,T,P,S,W,S,,,,,p,p,p,p,p,p,,,,
M4,Wp,Sp,Wp,Sp,,,,,,,W,S,W,S,,,,,,,p,p,p,p,,,,,,
M5,Wp,Sp,Yp,Sp,,,,,,,W,S,Y,S,,,,,,,p,p,p,p,,,,,,
M6,Wp,Qp,Sp,Wp,Sp,,,,,,W,Q,S,W,S,,,,,,p,p,p,p,p,,,,,
M7,Wp,Qp,Sp,Yp,Sp,,,,,,W,Q,S,Y,S,,,,,,p,p,p,p,p,,,,,
M8,Wp,Qp,Sp,,,,,,,,W,Q,S,,,,,,,,p,p,p,,,,,,,
N1,Wp,Tp,Qp,Tp,Qp,Pp,Wp,Pp,,,W,T,Q,T,Q,P,W,P,,,p,p,p,p,p,p,p,p,,
N2,Wp,Tp,Qp,Tp,Qp,Pp,Yp,Pp,,,W,T,Q,T,Q,P,Y,P,,,p,p,p,p,p,p,p,p,,
N3,Wp,Tp,Qp,Pp,Wp,Pp,,,,,W,T,Q,P,W,P,,,,,p,p,p,p,p,p,,,,
N4,Wp,Pp,Wp,Pp,,,,,,,W,P,W,P,,,,,,,p,p,p,p,,,,,,
N5,Wp,Pp,Yp,Pp,,,,,,,W,P,Y,P,,,,,,,p,p,p,p,,,,,,
N6,Wp,Rp,Pp,Wp,Pp,,,,,,W,R,P,W,P,,,,,,p,p,p,p,p,,,,,
N7,Wp,Rp,Pp,Yp,Pp,,,,,,W,R,P,Y,P,,,,,,p,p,p,p,p,,,,,
N8,Wp,Rp,Pp,,,,,,,,W,R,P,,,,,,,,p,p,p,,,,,,,
P1,Vp,Wp,Qp,Wp,Qp,Pp,Vp,Pp,,,V,W,Q,W,Q,P,V,P,,,p,p,p,p,p,p,p,p,,
P2,Vp,Wp,Qp,Wp,Qp,Pp,Yp,Pp,,,V,W,Q,W,Q,P,Y,P,,,p,p,p,p,p,p,p,p,,
P3,Vp,Wp,Qp,Pp,Vp,Pp,,,,,V,W,Q,P,V,P,,,,,p,p,p,p,p,p,,,,
P4,Vp,Pp,Vp,Pp,,,,,,,V,P,V,P,,,,,,,p,p,p,p,,,,,,
P5,Vp,Pp,Yp,Pp,,,,,,,V,P,Y,P,,,,,,,p,p,p,p,,,,,,
P6,Vp,Tp,Pp,Vp,Pp,,,,,,V,T,P,V,P,,,,,,p,p,p,p,p,,,,,
P7,Vp,Tp,Pp,Yp,Pp,,,,,,V,T,P,Y,P,,,,,,p,p,p,p,p,,,,,
P8,Vp,Tp,Pp,,,,,,,,V,T,P,,,,,,,,p,p,p,,,,,,,
Q1,Vp,Wp,Rp,Wp,Rp,Qp,Vp,Qp,,,V,W,R,W,R,Q,V,Q,,,p,p,p,p,p,p,p,p,,
Q2,Vp,Wp,Rp,Wp,Rp,Qp,Yp,Qp,,,V,W,R,W,R,Q,Y,Q,,,p,p,p,p,p,p,p,p,,
Q3,Vp,Wp,Rp,Wp,Rp,Qp,,,,,V,W,R,W,R,Q,,,,,p,p,p,p,p,p,,,,
Q4,Vp,Qp,Vp,Qp,,,,,,,V,Q,V,Q,,,,,,,p,p,p,p,,,,,,
Q5,Vp,Qp,Yp,Qp,,,,,,,V,Q,Y,Q,,,,,,,p,p,p,p,,,,,,
Q6,Vp,Tp,Qp,Vp,Qp,,,,,,V,T,Q,V,Q,,,,,,p,p,p,p,p,,,,,
Q7,Vp,Tp,Qp,Yp,Qp,,,,,,V,T,Q,Y,Q,,,,,,p,p,p,p,p,,,,,
Q8,Vp,Tp,Qp,,,,,,,,V,T,Q,,,,,,,,p,p,p,,,,,,,
R1,Np,Vp,Rp,Vp,Rp,Qp,Np,Qp,,,N,V,R,V,R,Q,N,Q,,,p,p,p,p,p,p,p,p,,
R2,Np,Vp,Rp,Vp,Rp,Qp,Yp,Qp,,,N,V,R,V,R,Q,Y,Q,,,p,p,p,p,p,p,p,p,,
R3,Np,Vp,Rp,Qp,Np,Qp,,,,,N,V,R,Q,N,Q,,,,,p,p,p,p,p,p,,,,
R4,Np,Qp,Np,Qp,,,,,,,N,Q,N,Q,,,,,,,p,p,p,p,,,,,,
R5,Np,Qp,Yp,Qp,,,,,,,N,Q,Y,Q,,,,,,,p,p,p,p,,,,,,
R6,Np,Wp,Qp,Np,Qp,,,,,,N,W,Q,N,Q,,,,,,p,p,p,p,p,,,,,
R7,Np,Wp,Qp,Yp,Qp,,,,,,N,W,Q,Y,Q,,,,,,p,p,p,p,p,,,,,
R8,Np,Wp,Qp,,,,,,,,N,W,Q,,,,,,,,p,p,p,,,,,,,
