Course,Mark and Side x 10,,,Card,CC2,Sat_Hut,,,,,Mark x 10,,,,,,,,,,Side x 10,,,,,,,,,last
G2,Yp,Gp,Dp,Js,Bp,Vs,Lp,Xp,,,Y,G,D,J,B,V,L,X,,,p,p,p,s,p,s,p,p,,
G3,Rp,Sp,Bp,Qs,Hp,Xp,,,,,R,S,B,Q,H,X,,,,,p,p,p,s,p,p,,,,
G4,Rp,Sp,Bp,Ns,Hp,Ap,Xp,,,,R,S,B,N,H,A,X,,,,p,p,p,s,p,p,p,,,
G5,Qs,Wp,Rp,Hp,Ap,Xp,,,,,Q,W,R,H,A,X,,,,,s,p,p,p,p,p,,,,
G6,Qs,Wp,Rp,Hp,Xp,,,,,,Q,W,R,H,X,,,,,,s,p,p,p,p,,,,,
G7,Rp,Sp,Hp,Xp,,,,,,,R,S,H,X,,,,,,,p,p,p,p,,,,,,
G8,Tp,Yp,Xp,,,,,,,,T,Y,X,,,,,,,,p,p,p,,,,,,,
H1,Rp,Pp,Ep,Ns,Dp,Ks,Cp,Xp,,,R,P,E,N,D,K,C,X,,,p,p,p,s,p,s,p,p,,
H2,Rp,Pp,Ep,Js,Cp,Ks,Lp,Xp,,,R,P,E,J,C,K,L,X,,,p,p,p,s,p,s,p,p,,
H3,Tp,Vs,Rp,Vs,Rp,Sp,Lp,Xp,,,T,V,R,V,R,S,L,X,,,p,s,p,s,p,p,p,p,,
H4,Tp,Vs,Rp,Vs,Yp,Hp,Lp,Xp,,,T,V,R,V,Y,H,L,X,,,p,s,p,s,p,p,p,p,,
H5,Tp,Vs,Rp,Sp,Lp,Xp,,,,,T,V,R,S,L,X,,,,,p,s,p,p,p,p,,,,
H6,Tp,Vs,Yp,Hp,Lp,Xp,,,,,T,V,Y,H,L,X,,,,,p,s,p,p,p,p,,,,
H7,Tp,Vs,Yp,Sp,Xp,,,,,,T,V,Y,S,X,,,,,,p,s,p,p,p,,,,,
H8,Tp,Hp,Xp,,,,,,,,T,H,X,,,,,,,,p,p,p,,,,,,,
J1,Ms,Tp,Sp,Fp,Ns,Dp,Xp,,,,M,T,S,F,N,D,X,,,,s,p,p,p,s,p,p,,,
J2,Ms,Yp,Sp,Fp,Ns,Cp,Xp,,,,M,Y,S,F,N,C,X,,,,s,p,p,p,s,p,p,,,
J3,Ms,Yp,Sp,Fp,Js,Cp,Xp,,,,M,Y,S,F,J,C,X,,,,s,p,p,p,s,p,p,,,
J4,Ms,Vs,Dp,Bs,Cp,Xp,,,,,M,V,D,B,C,X,,,,,s,s,p,s,p,p,,,,
J5,Ms,Vs,Dp,Xp,,,,,,,M,V,D,X,,,,,,,s,s,p,p,,,,,,
J6,Ms,Ks,Dp,Xp,,,,,,,M,K,D,X,,,,,,,s,s,p,p,,,,,,
J7,Ms,Ks,Cp,Xp,,,,,,,M,K,C,X,,,,,,,s,s,p,p,,,,,,
J8,Ms,Hs,Xp,,,,,,,,M,H,X,,,,,,,,s,s,p,,,,,,,
K1,Fs,Gs,Vs,Cs,Es,Bp,Gs,Vs,Hp,Xp,F,G,V,C,E,B,G,V,H,X,s,s,s,s,s,p,s,s,p,p
K2,Gs,Vs,Cs,Es,Bp,Fs,Xp,,,,G,V,C,E,B,F,X,,,,s,s,s,s,p,s,p,,,
K3,Js,Wp,Ns,Ts,Dp,Ap,Xp,,,,J,W,N,T,D,A,X,,,,s,p,s,s,p,p,p,,,
K4,Js,Wp,Yp,Dp,Ap,Xp,,,,,J,W,Y,D,A,X,,,,,s,p,p,p,p,p,,,,
K5,Js,Wp,Ss,Rs,Hp,Xp,,,,,J,W,S,R,H,X,,,,,s,p,s,s,p,p,,,,
K6,Js,Wp,Yp,Hp,Xp,,,,,,J,W,Y,H,X,,,,,,s,p,p,p,p,,,,,
K7,Gs,Vs,Hp,Xp,,,,,,,G,V,H,X,,,,,,,s,s,p,p,,,,,,
K8,Js,Vs,Hp,Xp,,,,,,,J,V,H,X,,,,,,,s,s,p,p,,,,,,
L1,Gp,Hp,Ss,Tp,Qp,Gp,Ks,Fp,Ap,Xp,G,H,S,T,Q,G,K,F,A,X,p,p,s,p,p,p,s,p,p,p
L2,Gp,Hp,Ss,Tp,Qp,Fp,Ap,Xp,,,G,H,S,T,Q,F,A,X,,,p,p,s,p,p,p,p,p,,
L3,Jp,Fp,Bs,Ep,Ls,Cs,Ap,Xp,,,J,F,B,E,L,C,A,X,,,p,p,s,p,s,s,p,p,,
L4,Jp,Fp,Bs,Ep,Ap,Xp,,,,,J,F,B,E,A,X,,,,,p,p,s,p,p,p,,,,
L5,Jp,Fp,Bs,Dp,Ap,Xp,,,,,J,F,B,D,A,X,,,,,p,p,s,p,p,p,,,,
L6,Jp,Ep,Ls,Cs,Xp,,,,,,J,E,L,C,X,,,,,,p,p,s,s,p,,,,,
L7,Jp,Ep,Xp,,,,,,,,J,E,X,,,,,,,,p,p,p,,,,,,,
L8,Jp,Mp,Ap,Xp,,,,,,,J,M,A,X,,,,,,,p,p,p,p,,,,,,
M1,As,Fp,Cp,Fp,Cp,Gs,Lp,Js,Xp,,A,F,C,F,C,G,L,J,X,,s,p,p,p,p,s,p,s,p,
M2,As,Fp,Cp,Gs,Lp,Js,Ap,Xp,,,A,F,C,G,L,J,A,X,,,s,p,p,s,p,s,p,p,,
M3,As,Fp,Cp,Gs,Bp,Js,Xp,,,,A,F,C,G,B,J,X,,,,s,p,p,s,p,s,p,,,
M4,As,Ms,Gs,Lp,Js,Xp,,,,,A,M,G,L,J,X,,,,,s,s,s,p,s,p,,,,
M5,As,Ms,Gs,Lp,Ks,Xp,,,,,A,M,G,L,K,X,,,,,s,s,s,p,s,p,,,,
M6,As,Ms,Gs,Bp,Ks,Xp,,,,,A,M,G,B,K,X,,,,,s,s,s,p,s,p,,,,
M7,As,Ms,Js,Xp,,,,,,,A,M,J,X,,,,,,,s,s,s,p,,,,,,
M8,As,Js,Xp,,,,,,,,A,J,X,,,,,,,,s,s,p,,,,,,,
N1,As,Fp,Dp,Gs,Cp,Js,Lp,Ns,Xp,,A,F,D,G,C,J,L,N,X,,s,p,p,s,p,s,p,s,p,
N2,As,Ms,Gs,Cp,Js,Lp,Ns,Xp,,,A,M,G,C,J,L,N,X,,,s,s,s,p,s,p,s,p,,
N3,As,Hs,Qs,Ts,Ys,Ps,Ws,Sp,Xp,,A,H,Q,T,Y,P,W,S,X,,s,s,s,s,s,s,s,p,p,
N4,As,Hs,Ps,Ws,Ys,Ws,Sp,Xp,,,A,H,P,W,Y,W,S,X,,,s,s,s,s,s,s,p,p,,
N5,As,Hs,Ps,Ws,Sp,Xp,,,,,A,H,P,W,S,X,,,,,s,s,s,s,p,p,,,,
N6,As,Hs,Ps,Ws,Vp,Xp,,,,,A,H,P,W,V,X,,,,,s,s,s,s,p,p,,,,
N7,As,Hs,Ns,Xp,,,,,,,A,H,N,X,,,,,,,s,s,s,p,,,,,,
N8,As,Hs,Ap,Xp,,,,,,,A,H,A,X,,,,,,,s,s,p,p,,,,,,
P1,As,Gp,Dp,Js,Cs,Ms,Ps,Lp,Xp,,A,G,D,J,C,M,P,L,X,,s,p,p,s,s,s,s,p,p,
P2,As,Gp,Dp,Js,Cs,Ms,Ns,Lp,Xp,,A,G,D,J,C,M,N,L,X,,s,p,p,s,s,s,s,p,p,
P3,As,Bs,Qs,Ws,Sp,Kp,Vs,Xp,,,A,B,Q,W,S,K,V,X,,,s,s,s,s,p,p,s,p,,
P4,As,Bs,Qs,Ws,Sp,Xp,,,,,A,B,Q,W,S,X,,,,,s,s,s,s,p,p,,,,
P5,As,Bs,Sp,Kp,Vs,Xp,,,,,A,B,S,K,V,X,,,,,s,s,p,p,s,p,,,,
P6,As,Bs,Qs,Xp,,,,,,,A,B,Q,X,,,,,,,s,s,s,p,,,,,,
P7,As,Bs,Ys,Xp,,,,,,,A,B,Y,X,,,,,,,s,s,s,p,,,,,,
P8,As,Bs,Vs,Xp,,,,,,,A,B,V,X,,,,,,,s,s,s,p,,,,,,
Q1,Ls,Gp,Ep,Js,Dp,Ps,Kp,Vs,Xp,,L,G,E,J,D,P,K,V,X,,s,p,p,s,p,s,p,s,p,
Q2,Ls,Gp,Ep,Js,Dp,Ys,Xp,,,,L,G,E,J,D,Y,X,,,,s,p,p,s,p,s,p,,,
Q3,Ls,Ss,Ps,Np,Ys,Kp,Ys,Xp,,,L,S,P,N,Y,K,Y,X,,,s,s,s,p,s,p,s,p,,
Q4,Ls,Ss,Ps,Np,Ys,Kp,Vs,Xp,,,L,S,P,N,Y,K,V,X,,,s,s,s,p,s,p,s,p,,
Q5,Ls,Ss,Ps,Np,Qs,Xp,,,,,L,S,P,N,Q,X,,,,,s,s,s,p,s,p,,,,
Q6,Ls,Qs,Xp,,,,,,,,L,Q,X,,,,,,,,s,s,p,,,,,,,
Q7,Ls,Ys,Xp,,,,,,,,L,Y,X,,,,,,,,s,s,p,,,,,,,
Q8,Ls,Vs,Xp,,,,,,,,L,V,X,,,,,,,,s,s,p,,,,,,,
R1,Ls,Js,Sp,Ep,Qs,Np,Ws,Xp,,,L,J,S,E,Q,N,W,X,,,s,s,p,p,s,p,s,p,,
R2,Ls,Js,Qs,Mp,Ts,Xp,,,,,L,J,Q,M,T,X,,,,,s,s,s,p,s,p,,,,
R3,Ls,Pp,Mp,Ws,Xp,,,,,,L,P,M,W,X,,,,,,s,p,p,s,p,,,,,
R4,Ls,Sp,Mp,Ws,Xp,,,,,,L,S,M,W,X,,,,,,s,p,p,s,p,,,,,
R5,Ls,Sp,Kp,Ys,Xp,,,,,,L,S,K,Y,X,,,,,,s,p,p,s,p,,,,,
R6,Ls,Pp,Np,Ws,Xp,,,,,,L,P,N,W,X,,,,,,s,p,p,s,p,,,,,
R7,Ls,Bs,Ts,Xp,,,,,,,L,B,T,X,,,,,,,s,s,s,p,,,,,,
R8,Ls,Vs,Xp,,,,,,,,L,V,X,,,,,,,,s,s,p,,,,,,,
